ts_iso,iteration,t_sign_ms,t_authorize_ms,decision,reason
2026-02-07T20:27:43Z,157,0.065,4.050,allow,authorized
2026-02-07T20:27:43Z,158,0.087,3.230,allow,authorized
2026-02-07T20:27:43Z,159,0.067,3.554,allow,authorized
2026-02-07T20:27:43Z,160,0.067,5.343,allow,authorized
2026-02-07T20:27:43Z,161,0.067,32.932,allow,authorized
2026-02-07T20:27:43Z,162,0.060,2.799,allow,authorized
2026-02-07T20:27:43Z,163,0.064,3.005,allow,authorized
2026-02-07T20:27:43Z,164,0.071,3.496,allow,authorized
2026-02-07T20:27:43Z,165,0.066,2.945,allow,authorized
2026-02-07T20:27:43Z,166,0.070,4.232,allow,authorized
2026-02-07T20:27:43Z,167,0.247,3.221,allow,authorized
2026-02-07T20:27:43Z,168,0.067,4.493,allow,authorized
2026-02-07T20:27:43Z,169,0.070,3.517,allow,authorized
2026-02-07T20:27:43Z,170,0.069,3.358,allow,authorized
2026-02-07T20:27:43Z,171,0.068,3.021,allow,authorized
2026-02-07T20:27:43Z,172,0.066,3.253,allow,authorized
2026-02-07T20:27:43Z,173,0.069,3.552,allow,authorized
2026-02-07T20:27:43Z,174,0.163,4.551,allow,authorized
2026-02-07T20:27:43Z,175,0.066,2.963,allow,authorized
2026-02-07T20:27:43Z,176,0.070,3.346,allow,authorized
2026-02-07T20:27:43Z,177,0.064,2.937,allow,authorized
2026-02-07T20:27:43Z,178,0.217,3.036,allow,authorized
2026-02-07T20:27:43Z,179,0.066,3.240,allow,authorized
2026-02-07T20:27:43Z,180,0.084,3.179,allow,authorized
2026-02-07T20:27:43Z,181,0.065,3.429,allow,authorized
2026-02-07T20:27:43Z,182,0.065,3.002,allow,authorized
2026-02-07T20:27:43Z,183,0.065,3.515,allow,authorized
2026-02-07T20:27:43Z,184,0.063,25.221,allow,authorized
2026-02-07T20:27:43Z,185,0.062,2.960,allow,authorized
2026-02-07T20:27:43Z,186,0.067,3.637,allow,authorized
2026-02-07T20:27:43Z,187,0.139,4.217,allow,authorized
2026-02-07T20:27:43Z,188,0.066,4.768,allow,authorized
2026-02-07T20:27:43Z,189,0.077,2.780,allow,authorized
2026-02-07T20:27:43Z,190,0.063,3.087,allow,authorized
2026-02-07T20:27:43Z,191,0.060,3.352,allow,authorized
2026-02-07T20:27:43Z,192,0.095,3.078,allow,authorized
2026-02-07T20:27:43Z,193,0.065,7.073,allow,authorized
2026-02-07T20:27:43Z,194,0.103,2.691,allow,authorized
2026-02-07T20:27:43Z,195,0.063,2.705,allow,authorized
2026-02-07T20:27:44Z,196,0.064,157.432,allow,authorized
2026-02-07T20:27:44Z,197,0.065,4.467,allow,authorized
2026-02-07T20:27:44Z,198,0.068,3.153,allow,authorized
2026-02-07T20:27:44Z,199,0.132,3.391,allow,authorized
2026-02-07T20:27:44Z,200,0.065,3.235,allow,authorized
